Bandwidth (MB/s);Size (KBytes)
88.8;1000
2528.9;513000
2634.8;1025000
3024.3;1537000
3078.0;2049000
3259.9;2561000
3263.0;3073000
3392.7;3585000
3272.0;4097000
3428.0;4609000
3443.3;5121000
3420.8;5633000
3363.6;6145000
3377.1;6657000
3172.5;7169000
3169.2;7681000
3105.5;8193000
3127.3;8705000
3169.6;9217000
3170.5;9729000
3168.4;10241000
3153.8;10753000
3208.9;11265000
3204.6;11777000
3206.2;12289000
3218.5;12801000
3234.3;13313000
3220.3;13825000
3255.0;14337000
3253.6;14849000
3248.7;15361000
3218.0;15873000
3278.6;16385000
3247.1;16897000
3249.7;17409000
3200.8;17921000
3269.6;18433000
3265.6;18945000
3283.9;19457000
3261.1;19969000
3302.6;20481000
3267.3;20993000
3282.7;21505000
3234.8;22017000
3297.2;22529000
3285.1;23041000
3292.3;23553000
3276.8;24065000
3314.4;24577000
3287.1;25089000
3287.9;25601000
3302.9;26113000
3289.5;26625000
3285.6;27137000
3300.4;27649000
3296.1;28161000
3310.2;28673000
3321.2;29185000
3319.1;29697000
3284.5;30209000
3297.6;30721000
3309.9;31233000
3308.0;31745000
3317.9;32257000
3320.4;32769000
3325.9;33281000
3296.2;33793000
3319.1;34305000
3307.6;34817000
3324.0;35329000
3315.3;35841000
3302.5;36353000
3343.1;36865000
3319.4;37377000
3290.2;37889000
3327.4;38401000
3315.3;38913000
3315.7;39425000
3321.9;39937000
3324.4;40449000
3312.4;40961000
3320.4;41473000
3318.3;41985000
3341.8;42497000
3324.8;43009000
3319.4;43521000
3321.0;44033000
3310.9;44545000
3329.0;45057000
3339.6;45569000
3314.2;46081000
3357.7;46593000
3335.8;47105000
3321.7;47617000
3335.1;48129000
3323.0;48641000
3341.2;49153000
3338.1;49665000
3327.7;50177000
3359.0;50689000
3325.0;51201000
3338.4;51713000
3336.3;52225000
3334.8;52737000
3351.2;53249000
3309.7;53761000
3331.2;54273000
3363.2;54785000
3344.9;55297000
3344.1;55809000
3332.1;56321000
3342.9;56833000
3321.0;57345000
3329.9;57857000
3320.0;58369000
3356.5;58881000
3316.9;59393000
3338.4;59905000
3341.2;60417000
3335.6;60929000
3347.7;61441000
3333.3;61953000
3334.5;62465000
3359.0;62977000
