Bandwidth (MB/s);Size (KBytes)
189.6;1000
5188.9;513000
5280.0;1025000
5294.9;1537000
5340.2;2049000
5353.2;2561000
5363.6;3073000
5369.4;3585000
5370.3;4097000
5371.7;4609000
5382.0;5121000
5378.7;5633000
5381.7;6145000
5387.5;6657000
5389.9;7169000
5391.4;7681000
5386.6;8193000
5393.0;8705000
5387.8;9217000
5394.9;9729000
5392.8;10241000
5388.7;10753000
5396.6;11265000
5397.5;11777000
5397.9;12289000
5396.3;12801000
5398.9;13313000
5397.5;13825000
5396.1;14337000
5397.9;14849000
5395.2;15361000
5396.4;15873000
5400.7;16385000
5402.4;16897000
5401.8;17409000
5401.6;17921000
5402.6;18433000
5404.9;18945000
5403.8;19457000
5401.9;19969000
5405.9;20481000
5404.2;20993000
5402.2;21505000
5406.0;22017000
5406.8;22529000
5403.1;23041000
5407.2;23553000
5408.6;24065000
5408.8;24577000
5407.7;25089000
5404.2;25601000
5386.6;26113000
5406.9;26625000
5407.4;27137000
5408.5;27649000
5406.8;28161000
5407.3;28673000
5405.3;29185000
5401.8;29697000
5404.1;30209000
5406.2;30721000
5408.4;31233000
5407.8;31745000
5407.6;32257000
5408.8;32769000
5410.3;33281000
5405.9;33793000
5395.4;34305000
5409.2;34817000
5410.0;35329000
5407.0;35841000
5406.9;36353000
5409.5;36865000
5405.2;37377000
5391.2;37889000
5408.1;38401000
5406.5;38913000
5408.4;39425000
5410.0;39937000
5408.7;40449000
5407.0;40961000
5408.0;41473000
5411.0;41985000
5409.6;42497000
5409.1;43009000
5410.4;43521000
5409.1;44033000
5409.6;44545000
5410.5;45057000
5410.8;45569000
5408.6;46081000
5410.8;46593000
5408.4;47105000
5410.4;47617000
5409.8;48129000
5408.2;48641000
5410.9;49153000
5410.1;49665000
5407.9;50177000
5410.0;50689000
5409.9;51201000
5400.6;51713000
5411.4;52225000
5410.6;52737000
5410.9;53249000
5410.4;53761000
5411.5;54273000
5409.8;54785000
5409.4;55297000
5410.1;55809000
5410.6;56321000
5411.2;56833000
5409.5;57345000
5410.8;57857000
5410.3;58369000
5409.3;58881000
5402.9;59393000
5410.3;59905000
5409.9;60417000
5410.5;60929000
5410.3;61441000
5409.7;61953000
5410.2;62465000
5412.1;62977000
5411.7;63489000
