Bandwidth (MB/s);Size (KBytes)
381.5;1000
111865.1;513000
123687.3;1025000
123435.6;1537000
130625.7;2049000
134692.8;2561000
137086.0;3073000
139806.4;3585000
140578.5;4097000
142464.8;4609000
143726.0;5121000
144343.2;5633000
145119.4;6145000
145929.3;6657000
146571.9;7169000
146718.9;7681000
147267.4;8193000
147734.1;8705000
147704.2;9217000
148248.9;9729000
148608.2;10241000
148638.0;10753000
148909.8;11265000
149261.0;11777000
149120.5;12289000
149541.8;12801000
149631.9;13313000
149535.0;13825000
149893.1;14337000
150168.3;14849000
150019.4;15361000
150457.5;15873000
150496.0;16385000
150464.1;16897000
150681.5;17409000
150716.7;17921000
150846.8;18433000
150830.4;18945000
150945.2;19457000
151095.4;19969000
150995.4;20481000
151164.0;20993000
151302.1;21505000
151342.0;22017000
151481.8;22529000
151326.9;23041000
151405.1;23553000
151609.8;24065000
151405.1;24577000
151538.4;25089000
151685.8;25601000
151579.3;26113000
151767.1;26625000
151836.7;27137000
151556.0;27649000
151835.7;28161000
151892.6;28673000
151736.5;29185000
151990.4;29697000
151946.6;30209000
151869.8;30721000
151997.8;31233000
152071.7;31745000
152007.1;32257000
152101.7;32769000
152180.9;33281000
152220.8;33793000
152065.9;34305000
152115.0;34817000
152353.9;35329000
152111.5;35841000
152354.2;36353000
152405.0;36865000
152079.3;37377000
152477.2;37889000
152221.2;38401000
152354.9;38913000
152528.9;39425000
152359.9;39937000
152404.2;40449000
152458.5;40961000
152419.7;41473000
152508.0;41985000
152509.8;42497000
152510.8;43009000
152575.6;43521000
152450.3;44033000
152482.6;44545000
152576.0;45057000
152666.6;45569000
152619.3;46081000
152523.2;46593000
152588.7;47105000
152705.8;47617000
152592.6;48129000
152591.0;48641000
152748.7;49153000
152458.2;49665000
152875.8;50177000
152769.5;50689000
152466.5;51201000
152808.0;51713000
152749.5;52225000
152625.5;52737000
152801.0;53249000
152828.8;53761000
152677.2;54273000
152788.7;54785000
152731.5;55297000
152817.2;55809000
152718.7;56321000
152816.4;56833000
152899.8;57345000
152696.1;57857000
152793.4;58369000
152924.2;58881000
152633.5;59393000
152884.6;59905000
152792.1;60417000
152843.1;60929000
152949.5;61441000
152822.2;61953000
152808.7;62465000
153053.3;62977000
152804.5;63489000
