
Kernel;Dim mat;Block Size;Time (ms)
1;512;4;0.16
1;512;8;0.09
1;512;16;0.12
1;512;32;0.26
1;1024;4;0.54
1;1024;8;0.29
1;1024;16;0.40
1;1024;32;0.93
1;2048;4;2.50
1;2048;8;1.15
1;2048;16;1.57
1;2048;32;3.88
1;4096;4;10.72
1;4096;8;4.68
1;4096;16;6.44
1;4096;32;16.12
2;512;4;0.17
2;512;8;0.09
2;512;16;0.11
2;512;32;0.20
2;1024;4;0.56
2;1024;8;0.28
2;1024;16;0.37
2;1024;32;0.68
2;2048;4;2.52
2;2048;8;1.10
2;2048;16;1.36
2;2048;32;2.83
2;4096;4;10.77
2;4096;8;4.48
2;4096;16;5.65
2;4096;32;11.77
3;512;4;0.19
3;512;8;0.10
3;512;16;0.10
3;512;32;0.19
3;1024;4;0.59
3;1024;8;0.24
3;1024;16;0.33
3;1024;32;0.65
3;2048;4;2.52
3;2048;8;0.91
3;2048;16;1.28
3;2048;32;2.47
3;4096;4;10.31
3;4096;8;3.60
3;4096;16;5.09
3;4096;32;9.85
